"Date","Singapore","United States of America","China","","India","Germany","Vietnam","United Kingdom","Brazil","Japan","France","Netherlands","Indonesia","Hong Kong","Poland","Turkey","Sweden","Italy","Bangladesh","Iraq","Canada","Argentina","South Korea","Mexico","Pakistan","South Africa"
2026-02,29.48,18.3,15.37,8.39,6.1,2.75,1.12,1.97,1.51,1.43,1.5,1.46,1.28,0.66,1.21,1.06,1.03,0.98,1.05,0.49,0.7,0.42,0.49,0.47,0.35,0.45
2026-03,22.48,18.31,14.08,9.12,8.37,2.86,3.95,2.19,2.12,1.78,1.61,1.5,1.38,1.16,1.26,0.42,1.19,1.17,0.68,0.94,0.66,0.64,0.55,0.56,0.64,0.35
2026-01,41.9,14.36,18.37,5.21,1.33,2.32,0.29,0.6,0.54,0.55,0.43,0.54,1.47,3.11,0.2,3.98,0.33,0.34,1.52,0.4,0.57,0.55,0.51,0.3,0.08,0.21
2025-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
