"Date","Other","Tencent cloud computing","HostRoyale Technologies Pvt","China Mobile","Amazon.com","China Telecom","China Unicom","Googlebot","Jio","VNPT","M247 Europe","Google Cloud","Beijing Baidu Netcom Science and Technology Co.","Airtel","Code200","TerraTransit","Datacamp","Ahrefs Pte","GTT Communications","Microsoft Azure","Facebook","Google special-case crawlers","Huawei Cloud","Vultr","Alibaba","Google Proxy"
2026-03,31.34,22.02,5.22,3.47,3.75,3.4,3.27,3.15,3.37,3.79,2.02,2.19,1.36,2,1.56,1.16,1.1,0.84,0.68,0.73,0.64,0.64,0.65,0.6,0.5,0.56
2026-02,28.91,26.19,5.44,4.47,4.63,4.5,3.69,3.07,2.26,0.92,2.14,1.24,1.86,1.33,0.94,1.04,1.05,0.82,1.12,0.87,0.85,0.71,0.51,0.64,0.26,0.56
2026-01,21.58,38.91,4.34,5.99,3.91,5.28,4.9,2.59,0.47,0.05,0.93,0.76,1.93,0.28,0,0.1,0.08,0.87,0.02,0.57,0.54,0.83,1.08,0.64,2.57,0.77
2025-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
