"Date","Chrome","Opera","Safari","Samsung Internet","UC Browser","Firefox","Phoenix","Brave","Edge","Android","Unknown","Edge Legacy","KaiOS","Yandex Browser","Other"
2025-03,57.03,33.26,7.27,1.11,0.47,0.37,0.16,0.06,0.09,0.04,0,0.03,0.02,0.01,0.08
2025-04,61.2,28.67,7.5,1.2,0.61,0.28,0.17,0.13,0.11,0.04,0.01,0.03,0.02,0.01,0.03
2025-05,60.84,28.93,7.55,1.18,0.63,0.27,0.17,0.14,0.12,0.06,0.03,0.03,0.02,0.01,0.03
2025-06,61.18,28.61,7.54,1.24,0.58,0.26,0.17,0.14,0.08,0.08,0.04,0.03,0.02,0.01,0.03
2025-07,60,29.63,7.73,1.2,0.59,0.3,0.17,0.15,0.07,0.05,0.04,0.02,0.02,0.01,0.03
2025-08,58.64,30.76,7.96,1.21,0.56,0.32,0.16,0.16,0.07,0.04,0.04,0.03,0.01,0.01,0.03
2025-09,59.19,30.05,8.18,1.27,0.43,0.32,0.17,0.15,0.07,0.06,0.04,0.02,0.01,0.01,0.04
2025-10,60.51,26.57,10.03,1.53,0.38,0.42,0.16,0.16,0.09,0.04,0.05,0.02,0.01,0.01,0.03
2025-11,59.87,28.09,9.28,1.42,0.36,0.39,0.16,0.17,0.09,0.04,0.06,0.02,0.01,0.01,0.02
2025-12,59.65,28.76,9.02,1.37,0.2,0.4,0.16,0.18,0.08,0.05,0.06,0.02,0.01,0.01,0.03
2026-01,58.58,28.47,9.94,1.58,0.41,0.41,0.15,0.19,0.1,0.05,0.07,0.02,0.01,0.01,0.02
2026-02,59.48,27.34,10.17,1.48,0.53,0.4,0.13,0.21,0.12,0.02,0.07,0.02,0.01,0.01,0.01
2026-03,60.22,26.14,10.51,1.55,0.58,0.39,0.17,0.21,0.08,0.02,0.07,0.02,0.01,0.01,0.01
