"Date","Chrome","Safari","Opera","Samsung Internet","Firefox","UC Browser","Brave","Edge","Phoenix","Android","Yandex Browser","Unknown","KaiOS","Instabridge","Other"
2025-03,75.77,11.53,7.92,3.6,0.32,0.3,0.09,0.1,0.14,0.06,0.01,0,0.05,0.02,0.09
2025-04,73.59,10.64,9.13,5.03,0.43,0.45,0.25,0.14,0.12,0.09,0.02,0.02,0.03,0.03,0.04
2025-05,76.29,9.21,8.52,4.5,0.37,0.41,0.22,0.13,0.11,0.12,0.03,0.02,0.03,0.02,0.04
2025-06,80.46,7.78,6.41,4.1,0.31,0.31,0.19,0.11,0.09,0.13,0.03,0.02,0.02,0.02,0.03
2025-07,72.71,10.61,10.06,4.94,0.4,0.47,0.28,0.15,0.13,0.09,0.03,0.04,0.03,0.02,0.05
2025-08,72.75,10.61,10.13,4.88,0.4,0.42,0.3,0.16,0.12,0.07,0.04,0.03,0.02,0.02,0.04
2025-09,73.02,10.51,9.92,4.97,0.42,0.28,0.31,0.21,0.11,0.09,0.03,0.03,0.02,0.02,0.04
2025-10,72.91,11.1,9.37,5.09,0.45,0.27,0.32,0.16,0.11,0.07,0.04,0.04,0.02,0.02,0.04
2025-11,73.26,10.98,8.97,5.27,0.44,0.28,0.32,0.14,0.11,0.09,0.03,0.04,0.02,0.02,0.03
2025-12,72.8,11.27,9.2,5.3,0.45,0.14,0.35,0.14,0.1,0.09,0.03,0.04,0.02,0.02,0.04
2026-01,73.95,11,8.16,5.31,0.44,0.33,0.34,0.15,0.09,0.08,0.04,0.04,0.01,0.02,0.03
2026-02,74.83,10.98,7.15,5.51,0.4,0.42,0.31,0.15,0.08,0.07,0.04,0.04,0.01,0.02,0.03
2026-03,71.78,12.61,8.06,5.7,0.48,0.52,0.37,0.16,0.1,0.07,0.05,0.04,0.01,0.02,0.03
