"Date","Chrome","Safari","Samsung Internet","Opera","UC Browser","Android","Firefox","Edge","Brave","QQ Browser","Yandex Browser","Whale Browser","Coc Coc","Unknown","Ecosia","Instabridge","KaiOS","Puffin","Other"
2025-03,66.93,22.67,3.57,1.73,1.34,1.34,0.55,0.51,0.24,0.36,0.23,0.13,0.15,0.04,0.03,0.05,0.02,0.02,0.09
2025-04,67.39,22.31,3.59,1.54,1.37,1.22,0.53,0.57,0.43,0.35,0.23,0.14,0.13,0.05,0.04,0.04,0.02,0.02,0.02
2025-05,68.31,22.03,3.36,1.46,1.25,1.16,0.49,0.58,0.4,0.32,0.22,0.13,0.11,0.04,0.04,0.04,0.02,0.02,0.02
2025-06,69.85,20.87,3.24,1.44,1.24,1.04,0.5,0.53,0.42,0.3,0.2,0.12,0.09,0.04,0.03,0.03,0.02,0.02,0.02
2025-07,67.23,22.52,3.5,1.67,1.36,1.26,0.55,0.53,0.47,0.31,0.21,0.13,0.06,0.05,0.04,0.03,0.02,0.02,0.03
2025-08,69.17,20.3,3.33,1.73,1.35,1.69,0.54,0.59,0.44,0.29,0.24,0.12,0.05,0.04,0.04,0.03,0.02,0.02,0.02
2025-09,71.01,19.52,3.29,1.47,1.04,1.4,0.53,0.48,0.43,0.25,0.28,0.09,0.05,0.04,0.04,0.03,0.03,0.02,0.02
2025-10,68.77,21.59,3.55,1.53,1.09,0.97,0.58,0.57,0.45,0.27,0.3,0.09,0.05,0.04,0.04,0.03,0.03,0.02,0.02
2025-11,68.15,22.22,3.61,1.63,1.08,0.87,0.57,0.53,0.44,0.28,0.27,0.09,0.05,0.04,0.05,0.03,0.04,0.02,0.02
2025-12,68.3,22.37,3.53,1.59,0.91,1.01,0.56,0.48,0.42,0.28,0.23,0.09,0.06,0.04,0.04,0.03,0.03,0.02,0.02
2026-01,67.29,23.22,3.62,1.58,1.1,0.88,0.56,0.44,0.46,0.27,0.25,0.09,0.06,0.04,0.05,0.03,0.02,0.02,0.02
2026-02,65.55,25.33,3.9,1.43,1.04,0.28,0.63,0.52,0.51,0.23,0.22,0.11,0.08,0.04,0.06,0.03,0.01,0.01,0.02
2026-03,65.1,25.99,3.75,1.58,1.13,0.09,0.62,0.46,0.52,0.2,0.21,0.11,0.08,0.05,0.06,0.02,0.01,0.01,0.02
