"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","Android","Brave","UC Browser","Yandex Browser","360 Safe Browser","QQ Browser","IE","Coc Coc","Whale Browser","Mozilla","Sogou Explorer","Ecosia","Unknown","Instabridge","Pale Moon","Edge Legacy","Puffin","KaiOS","Other"
2025-03,66.17,17.59,5.18,2.51,2.22,2.14,1.11,0.47,0.84,0.39,0.33,0.31,0.11,0.16,0.11,0.07,0.04,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.11
2025-04,66.21,17.23,5.22,2.55,2.22,2.07,1.04,0.87,0.86,0.4,0.34,0.31,0.12,0.15,0.12,0.07,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.04
2025-05,66.85,17.19,5.21,2.39,2.12,1.91,1.01,0.83,0.8,0.4,0.34,0.29,0.11,0.13,0.11,0.08,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.04
2025-06,68.32,16.25,4.97,2.37,2.04,1.85,0.96,0.84,0.79,0.38,0.32,0.28,0.13,0.1,0.1,0.09,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.03
2025-07,67.92,16.23,5.07,2.45,2.04,1.87,1.01,0.88,0.8,0.35,0.32,0.27,0.32,0.07,0.1,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.05
2025-08,69.26,14.98,4.99,2.26,1.97,1.85,1.28,0.84,0.81,0.36,0.33,0.27,0.39,0.06,0.09,0.07,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.04
2025-09,71.86,13.86,4.67,2.17,1.86,1.73,1.03,0.79,0.6,0.38,0.28,0.22,0.19,0.06,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.03
2025-10,73.17,13.27,4.62,2.21,1.74,1.76,0.67,0.73,0.54,0.38,0.25,0.21,0.09,0.06,0.07,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.03
2025-11,71.17,14.41,4.96,2.29,1.87,1.89,0.66,0.79,0.56,0.39,0.27,0.23,0.11,0.06,0.07,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.03
2025-12,71.3,14.81,4.58,2.24,1.88,1.82,0.74,0.75,0.49,0.34,0.28,0.24,0.11,0.07,0.07,0.05,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.03
2026-01,71.36,14.77,4.63,2.22,1.83,1.88,0.66,0.79,0.56,0.33,0.27,0.23,0.08,0.07,0.07,0.05,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.03
2026-02,68.9,16.46,5.44,2.29,2.02,1.79,0.4,0.91,0.54,0.37,0.24,0.21,0.02,0.09,0.08,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0,0.03
2026-03,66.7,17.9,5.79,2.33,2.06,2,0.3,0.99,0.63,0.4,0.25,0.2,0.01,0.11,0.08,0.05,0.03,0.04,0.03,0.01,0.02,0.01,0.01,0.01,0.03
