"Date","Googlebot","Ahrefs Bot","Mediapartners-Google","Petal Search Bot","sogou web spider","OpenAI Search Bot","BitSight Bot","Applebot","Googlebot-Image","OpenAI GPT Bot","Pinterest Bot","Other","Amazon Bot","Yahoo","Ai2 Bot","Bing Bot","Amazon Product Discovery Bot","Claude Bot","Google Store Bot","Yeti","Facebook Bot","Python","Amazon Ad Bot","Bright Bot","Semrush SiteAudit Bot","Google Web Preview"
2026-03,35.62,12.88,8.04,8.63,8.49,3.75,3.68,3.68,3.77,1.75,1.44,1.39,1.88,0.84,0.55,0.55,0.64,0.47,0.48,0.35,0.32,0.13,0.23,0.13,0.17,0.14
2026-02,51.71,11.09,9.36,6.05,3.7,3.21,3.24,1.64,0.44,1.6,1.2,1.11,0.33,1.07,0.78,0.67,0.2,0.32,0.29,0.42,0.39,0.55,0.18,0.2,0.12,0.15
2025-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
