"Date","Google google.com","bing bing.com","YANDEX yandex.com.tr","DuckDuckGo duckduckgo.com","YANDEX yandex.ru","Baidu m.baidu.com","Yahoo! search.yahoo.com","Google google.co.uk","Google scholar.google.com","Google google.co.in","Google news.google.com","Google google.com.vn","bing cn.bing.com","YANDEX yandex.com","Naver m.search.naver.com","Google google.com.hk","CocCoc coccoc.com","Baidu baidu.com","Yahoo! r.search.yahoo.com","Ecosia ecosia.org","Google google.co.th","Yahoo! uk.search.yahoo.com","Google google.ca","Haosou so.com","YANDEX ya.ru","Yahoo! tw.search.yahoo.com","Yahoo! in.search.yahoo.com","Yahoo! search.yahoo.co.jp","Naver search.naver.com","Google google.com.au","Google google.de","Google google.nl","Haosou m.so.com","Google google.fr","Google google.com.tr","Google google.es","Google google.co.id","Seznam search.seznam.cz","Google google.co.jp","Yahoo! id.search.yahoo.com","Google google.com.br","Yahoo! fr.search.yahoo.com","Yahoo! tr.search.yahoo.com","Google google.it","Qwant qwant.com","Yahoo! de.search.yahoo.com","Yahoo! ca.search.yahoo.com","Yahoo! br.search.yahoo.com","Google google.co.za","Yahoo! hk.search.yahoo.com","Yahoo! es.search.yahoo.com","Google google.se","YANDEX yandex.by","Google google.com.mx","YANDEX yandex.kz","Google google.com.tw","Google google.ro","Google scholar.google.co.id","Sogou m.sogou.com","Yahoo! mx.search.yahoo.com","AOL search.aol.com","Google google.co.kr","Google google.no","Google google.be","Yahoo! it.search.yahoo.com","Google google.ie","Google google.pl","Google google.com.pk","Yahoo! au.search.yahoo.com","Google google.hu","Yahoo! ph.search.yahoo.com","Yahoo! yahoo.com","Google google.com.sg","Google google.com.ph","Google google.com.my","Yahoo! images.search.yahoo.com","Yahoo! us.search.yahoo.com","Google google.ru","Other"
2025-03,84.37,3.67,1.43,0.79,0.7,0.46,0.48,0.79,0.46,0.45,0.35,0.76,0.34,0.2,0.26,0.2,0.29,0.17,0.15,0.12,0.12,0.1,0.21,0.07,0.1,0.09,0.07,0.07,0.09,0.14,0.15,0.11,0.04,0.12,0.1,0.13,0.08,0.04,0.07,0.03,0.08,0.03,0.03,0.08,0.03,0.02,0.03,0.02,0.04,0.03,0.02,0.05,0.03,0.05,0.02,0.05,0.05,0.03,0.03,0.02,0.01,0.04,0.03,0.03,0.01,0.02,0.03,0.04,0.01,0.04,0.01,0,0.02,0.02,0.02,0,0.01,0.02,0.55
2025-04,84.58,3.55,1.41,0.84,0.71,0.53,0.49,0.76,0.43,0.45,0.35,0.58,0.34,0.22,0.24,0.21,0.28,0.18,0.15,0.11,0.11,0.1,0.2,0.09,0.1,0.08,0.06,0.08,0.09,0.14,0.14,0.12,0.06,0.11,0.14,0.11,0.07,0.04,0.07,0.03,0.07,0.03,0.04,0.07,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.05,0.03,0.05,0.02,0.04,0.05,0.03,0.02,0.02,0.02,0.04,0.03,0.03,0.01,0.02,0.02,0.03,0.01,0.03,0.01,0,0.02,0.02,0.02,0,0.01,0.02,0.55
2025-05,84.73,3.55,1.4,0.82,0.71,0.52,0.49,0.71,0.52,0.45,0.34,0.53,0.43,0.22,0.23,0.21,0.25,0.17,0.14,0.12,0.13,0.1,0.18,0.14,0.1,0.08,0.06,0.08,0.08,0.12,0.12,0.12,0.09,0.09,0.14,0.1,0.07,0.06,0.06,0.04,0.06,0.03,0.03,0.06,0.03,0.02,0.03,0.03,0.04,0.03,0.02,0.04,0.03,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0,0.02,0.02,0.02,0,0.01,0.02,0.49
2025-06,85.68,3.63,1.45,0.86,0.61,0.56,0.53,0.6,0.39,0.37,0.29,0.43,0.33,0.22,0.27,0.2,0.21,0.17,0.13,0.12,0.12,0.11,0.14,0.15,0.09,0.08,0.07,0.07,0.08,0.1,0.09,0.09,0.09,0.07,0.12,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.05,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0,0.01,0.01,0.37
2025-07,86.96,3.79,1.33,0.95,0.54,0.55,0.56,0.38,0.24,0.34,0.21,0.21,0.24,0.21,0.28,0.18,0.14,0.17,0.14,0.13,0.07,0.11,0.09,0.14,0.09,0.08,0.1,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.1,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.31
2025-08,87.66,3.7,1.3,0.9,0.54,0.6,0.53,0.3,0.21,0.32,0.26,0.13,0.22,0.22,0.22,0.19,0.11,0.16,0.15,0.13,0.05,0.11,0.07,0.09,0.08,0.09,0.1,0.08,0.06,0.05,0.05,0.04,0.05,0.06,0.03,0.04,0.04,0.07,0.02,0.03,0.02,0.03,0.06,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.27
2025-09,88.1,3.9,0.66,0.87,0.64,0.6,0.51,0.24,0.45,0.32,0.27,0.12,0.2,0.22,0.17,0.18,0.11,0.16,0.16,0.14,0.08,0.11,0.06,0.08,0.09,0.09,0.08,0.08,0.06,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.05,0.06,0.02,0.04,0.02,0.03,0.05,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.24
2025-10,87.8,4.1,0.78,0.89,0.68,0.6,0.53,0.23,0.52,0.29,0.24,0.09,0.21,0.24,0.16,0.18,0.11,0.12,0.16,0.15,0.09,0.11,0.05,0.05,0.1,0.08,0.08,0.08,0.06,0.04,0.04,0.03,0.03,0.04,0.02,0.03,0.04,0.04,0.02,0.04,0.02,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.26
2025-11,87.81,4.04,1.18,0.85,0.6,0.55,0.5,0.22,0.45,0.29,0.29,0.08,0.16,0.21,0.16,0.19,0.11,0.13,0.15,0.15,0.13,0.11,0.05,0.07,0.1,0.07,0.09,0.08,0.05,0.04,0.03,0.03,0.03,0.04,0.02,0.03,0.04,0.03,0.02,0.03,0.02,0.03,0.03,0.01,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.22
2025-12,88.76,3.86,0.53,0.78,0.65,0.53,0.45,0.18,0.32,0.29,0.27,0.1,0.17,0.22,0.18,0.22,0.14,0.14,0.14,0.14,0.15,0.08,0.04,0.12,0.1,0.07,0.08,0.07,0.06,0.03,0.03,0.04,0.07,0.04,0.02,0.03,0.04,0.03,0.02,0.03,0.02,0.03,0.03,0.01,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.23
